Fuente;Reporte UNCTAD;Título reporte;Archivo bulk;Nombre archivo;Tamaño bytes;Estado;Registros extraídos;Valores extraídos;URL bulk
UNCTADstat - UNCTAD;US.SeaborneTrade;World seaborne trade by type of cargo, annual (analytical);US_SeaborneTrade;From 2000 to 2024;462110;Procesado;225;225;https://unctadstat-api.unctad.org/bulkdownload/US.SeaborneTrade/US_SeaborneTrade
UNCTADstat - UNCTAD;US.ContPortThroughput;Container port throughput, annual (analytical);US_ContPortThroughput;From 2010 to 2024;16188;Procesado;15;12;https://unctadstat-api.unctad.org/bulkdownload/US.ContPortThroughput/US_ContPortThroughput
UNCTADstat - UNCTAD;US.PortCalls;Port call and performance statistics: time spent in ports, vessel age and size, annual (analytical);US_PortCalls;From 2018 to 2023;19373;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.PortCalls/US_PortCalls
UNCTADstat - UNCTAD;US.PortCalls_S;Port call and performance statistics: time spent in ports, vessel age and size, semi-annual (analytical);US_PortCalls_S;From 2018 to 2023;36462;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.PortCalls_S/US_PortCalls_S
UNCTADstat - UNCTAD;US.PortCallsArrivals;Port call and performance statistics: number of port calls, annual (analytical);US_PortCallsArrivals;From 2018 to 2023;20304;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.PortCallsArrivals/US_PortCallsArrivals
UNCTADstat - UNCTAD;US.PortCallsArrivals_S;Port call and performance statistics: number of port calls, semi-annual (analytical);US_PortCallsArrivals_S;From 2018 to 2023;38910;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.PortCallsArrivals_S/US_PortCallsArrivals_S
UNCTADstat - UNCTAD;US.LSCI_M;Liner shipping: Connectivity index - Monthly (analytical);US_LSCI_M;From 2006 to 2026;209318;Procesado;110;249;https://unctadstat-api.unctad.org/bulkdownload/US.LSCI_M/US_LSCI_M
UNCTADstat - UNCTAD;US.LSCI;Liner shipping: Connectivity index - Quarterly (analytical);US_LSCI;From 2006 to 2026;203416;Procesado;82;323;https://unctadstat-api.unctad.org/bulkdownload/US.LSCI/US_LSCI
UNCTADstat - UNCTAD;US.LSBCI;Liner shipping: Bilateral connectivity index - Quarterly (analytical);US_LSBCI;From 2006 to 2026;3456483;Procesado;7565;7398;https://unctadstat-api.unctad.org/bulkdownload/US.LSBCI/US_LSBCI
UNCTADstat - UNCTAD;US.PLSCI;Port liner shipping connectivity index, quarterly (analytical);US_PLSCI;From 2006 to 2026;355602;Procesado;716;716;https://unctadstat-api.unctad.org/bulkdownload/US.PLSCI/US_PLSCI
UNCTADstat - UNCTAD;US.Seafarers;Seafarer supply, quinquennial, 2015 and 2021 (analytical);US_Seafarers;From 2015 to 2021;11519;Procesado;6;12;https://unctadstat-api.unctad.org/bulkdownload/US.Seafarers/US_Seafarers
UNCTADstat - UNCTAD;US.TransportCosts;Trade-and-Transport Dataset, annual, 2016 onward (analytical);US_TransportCosts_20162016;From 2016 to 2016;5808744649;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TransportCosts/US_TransportCosts_20162016
UNCTADstat - UNCTAD;US.TransportCosts;Trade-and-Transport Dataset, annual, 2016 onward (analytical);US_TransportCosts_20172017;From 2017 to 2017;5505087830;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TransportCosts/US_TransportCosts_20172017
UNCTADstat - UNCTAD;US.TransportCosts;Trade-and-Transport Dataset, annual, 2016 onward (analytical);US_TransportCosts_20182018;From 2018 to 2018;5587492705;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TransportCosts/US_TransportCosts_20182018
UNCTADstat - UNCTAD;US.TransportCosts;Trade-and-Transport Dataset, annual, 2016 onward (analytical);US_TransportCosts_20192019;From 2019 to 2019;5666291146;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TransportCosts/US_TransportCosts_20192019
UNCTADstat - UNCTAD;US.TransportCosts;Trade-and-Transport Dataset, annual, 2016 onward (analytical);US_TransportCosts_20202020;From 2020 to 2020;5621158940;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TransportCosts/US_TransportCosts_20202020
