Fuente;País;Frecuencia;Código indicador;Indicador;Tema;Base de datos;Dimensiones disponibles;Número de series;Número de registros;Primer periodo;Último periodo;Último periodo con dato;Último valor disponible;Última actualización OIT;Archivo datos comprimidos
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_SEX_AGE_INS_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según sexo, edad y sector público/privado;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, edad, sector público/privado;135;1350;2005;2017;2017;39.63;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_SEX_AGE_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según sexo y edad;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, edad;45;450;2005;2017;2017;39.63;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_SEX_AGE_OCU_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según sexo, edad y ocupación;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, edad, ocupación;465;4546;2005;2017;2017;39.63;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_SEX_EC2_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según sexo y actividad económica - nivel 2 de la CIIU;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, actividad económica - nivel 2 de la ciiu;150;1494;2005;2017;2017;39.63;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_SEX_ECO_EDU_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según sexo, actividad económica y educación;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, actividad económica, educación;1548;12452;2005;2017;2017;39.63;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_SEX_ECO_EST_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según sexo, actividad económica y tamaño del establecimiento;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, actividad económica, tamaño del establecimiento;827;6383;2005;2017;2017;39.63;27/08/2026 07:00:11;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_SEX_ECO_INS_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según sexo, actividad económica y sector público/privado;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, actividad económica, sector público/privado;297;2945;2005;2017;2017;39.63;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_SEX_ECO_MTS_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según sexo, actividad económica y estado civil;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, actividad económica, estado civil;460;4277;2005;2017;2017;39.63;27/08/2026 07:00:11;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_SEX_ECO_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según sexo y actividad económica;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, actividad económica;152;1063;2005;2020;2020;39.3;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_SEX_EDU_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según sexo y educación;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, educación;48;426;2005;2017;2017;39.63;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_SEX_EST_MTS_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según sexo, tamaño del establecimiento y estado civil;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, tamaño del establecimiento, estado civil;425;3197;2005;2017;2017;39.63;27/08/2026 07:00:11;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_SEX_EST_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según sexo y tamaño del establecimiento;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, tamaño del establecimiento;39;303;2005;2017;2017;39.63;27/08/2026 07:00:11;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
